interval_begin;interval_end;interval_id;edge_CO2_abs;edge_CO2_normed;edge_CO2_perVeh;edge_CO_abs;edge_CO_normed;edge_CO_perVeh;edge_HC_abs;edge_HC_normed;edge_HC_perVeh;edge_NOx_abs;edge_NOx_normed;edge_NOx_perVeh;edge_PMx_abs;edge_PMx_normed;edge_PMx_perVeh;edge_electricity_abs;edge_electricity_normed;edge_electricity_perVeh;edge_fuel_abs;edge_fuel_normed;edge_fuel_perVeh;edge_id;edge_sampledSeconds;edge_traveltime
0.00;3000.00;806271971;623631.196118;911.885941;155926.798968;7160.415083;10.470101;1790.321925;47.026429;0.068763;11.758040;243.224030;0.355647;60.813418;10.062076;0.014713;2.515826;0;0;0;268.072296;0.391981;67.026241;-130907973;249.01;62.26
0.00;3000.00;806271971;75642.323919;668.661427;24583.128800;795.771293;7.034442;258.619080;5.384732;0.047600;1.749993;29.427219;0.260130;9.563603;1.158997;0.010245;0.376664;0;0;0;32.515393;0.287429;10.567233;-130908011#0;34.20;11.11
0.00;3000.00;806271971;714247.182347;29957.938442;25725.343741;38214.611900;1602.849853;1376.391887;190.727696;7.999764;6.869520;319.776835;13.412520;11.517538;16.765944;0.703220;0.603866;0;0;0;307.041170;12.878343;11.058832;-130908011#1;340.14;12.25
0.00;3000.00;806271971;71146.759628;7328.421593;1991.254654;740.072341;76.230627;20.713136;5.002087;0.515236;0.139998;27.588216;2.841705;0.772139;1.093930;0.112679;0.030617;0;0;0;30.582936;3.150174;0.855955;-130908011#2;36.13;1.01
0.00;3000.00;806271971;98550.704168;11957.618301;2286.380931;2206.413675;267.714500;51.188900;12.347219;1.498146;0.286456;40.698881;4.938186;0.944216;1.801718;0.218611;0.041800;0;0;0;42.363228;5.140129;0.982829;-130908011#3;48.00;1.11
0.00;3000.00;806271971;335468.487924;21401.498432;8039.425768;5597.674680;357.108433;134.146996;33.465969;2.134990;0.802004;140.997993;8.995087;3.378985;6.476688;0.413186;0.155212;0;0;0;144.203059;9.199557;3.455793;-130908011#4;82.35;1.97
0.00;3000.00;806271971;2876147.691346;157023.531830;52510.778516;161823.013252;8834.741397;2954.456210;804.439817;43.918461;14.686923;1305.482972;71.272956;23.834634;69.732847;3.807071;1.273136;0;0;0;1236.403819;67.501573;22.573433;-130908017;1327.29;24.23
0.00;3000.00;806271971;3903710.693189;257246.174180;76438.149261;233566.946448;15391.561545;4573.449858;1155.149193;76.121858;22.618855;1781.807464;117.417296;34.889385;96.296920;6.345761;1.885580;0;0;0;1678.144020;110.586097;32.859562;-130908023#0;1716.83;33.62
0.00;3000.00;806271971;1177648.727242;15337.296209;25998.405711;35522.990431;462.639337;784.224613;189.104436;2.462832;4.174771;485.655566;6.325013;10.721593;21.947644;0.285839;0.484528;0;0;0;506.234288;6.593023;11.175900;-130908023#1;548.94;12.12
0.00;3000.00;806271971;289003.792357;35316.145706;4531.007562;4654.602197;568.790493;72.974952;28.068421;3.429950;0.440057;122.250961;14.939018;1.916653;5.649627;0.690382;0.088575;0;0;0;124.229655;15.180813;1.947675;-130908023#2;56.85;0.89
0.00;3000.00;806271971;1540804.557253;71972.186403;8321.494524;30990.259880;1447.579286;167.370532;397.757993;18.579587;2.148190;3744.063885;174.888153;20.220739;108.013298;5.045386;0.583352;0;0;0;660.861032;30.869336;3.569143;-130908064#0;749.13;4.05
0.00;3000.00;806271971;2574809.407824;29426.393232;15969.177889;31825.856033;363.724069;197.386554;300.175380;3.430576;1.861712;990.416242;11.319043;6.142642;67.444291;0.770792;0.418295;0;0;0;1106.577686;12.646602;6.863085;-130908064#1;922.08;5.72
0.00;3000.00;806271971;830186.523417;30785.655998;4644.180817;9625.819103;356.952501;53.848193;123.686644;4.586649;0.691921;302.000273;11.199021;1.689432;26.168852;0.970415;0.146392;0;0;0;356.728243;13.228489;1.995588;-130908064#2;308.99;1.73
