interval_begin;interval_end;interval_id;edge_CO2_abs;edge_CO2_normed;edge_CO2_perVeh;edge_CO_abs;edge_CO_normed;edge_CO_perVeh;edge_HC_abs;edge_HC_normed;edge_HC_perVeh;edge_NOx_abs;edge_NOx_normed;edge_NOx_perVeh;edge_PMx_abs;edge_PMx_normed;edge_PMx_perVeh;edge_electricity_abs;edge_electricity_normed;edge_electricity_perVeh;edge_fuel_abs;edge_fuel_normed;edge_fuel_perVeh;edge_id;edge_sampledSeconds;edge_traveltime
0.00;3000.00;806271971;107100.300019;12994.980791;2484.686763;2377.485923;288.471497;55.156781;13.326058;1.616913;0.309160;43.937769;5.331175;1.019340;1.913395;0.232161;0.044390;0;0;0;46.038429;5.586058;1.068074;-130908011#3;52.24;1.21
0.00;3000.00;806271971;301049.046528;19205.680799;7175.827566;5371.395135;342.672736;128.032976;31.626629;2.017648;0.753855;127.390691;8.126998;3.036494;5.924903;0.377984;0.141226;0;0;0;129.407776;8.255679;3.084573;-130908011#4;85.30;2.03
0.00;3000.00;806271971;2848897.910303;155535.827678;52217.021329;160532.497513;8764.285578;2942.376003;797.906775;43.561789;14.624713;1292.804418;70.580769;23.695618;69.025127;3.768433;1.265151;0;0;0;1224.689912;66.862052;22.447157;-130908017;1323.78;24.26
0.00;3000.00;806271971;3835746.308546;252767.466791;74882.422824;229615.724759;15131.184498;4482.617046;1135.604719;74.833919;22.169566;1751.768903;115.437819;34.198482;94.747216;6.243639;1.849679;0;0;0;1648.927089;108.660764;32.190777;-130908023#0;1685.33;32.90
0.00;3000.00;806271971;1082037.090443;14092.082793;23868.427135;29748.997448;387.440818;656.226838;160.484090;2.090090;3.540085;444.474598;5.788686;9.804571;19.896783;0.259129;0.438899;0;0;0;465.131754;6.057718;10.260243;-130908023#1;507.67;11.20
0.00;3000.00;806271971;298034.000570;36419.633471;4663.220897;4738.362507;579.025968;74.139296;28.666992;3.503095;0.448541;125.519196;15.338395;1.963950;5.755242;0.703288;0.090050;0;0;0;128.111400;15.655161;2.004509;-130908023#2;56.77;0.89
0.00;3000.00;806271971;3145052.414330;146907.858980;15369.005064;34971.519269;1633.547027;170.896184;897.846235;41.939100;4.387527;16702.723940;780.197304;81.621612;398.326640;18.606149;1.946513;0;0;0;1345.074721;62.829493;6.573010;-130908064#0;880.56;4.30
0.00;3000.00;806271971;2335071.040764;26686.526180;14968.586874;25901.412354;296.016141;166.036722;173.917085;1.987624;1.114867;915.896829;10.467392;5.871205;44.111445;0.504131;0.282769;0;0;0;1003.740071;11.471315;6.434310;-130908064#1;883.25;5.66
0.00;3000.00;806271971;909732.067028;33735.428938;5226.624567;9440.600023;350.084055;54.238466;65.004760;2.410560;0.373468;352.416192;13.068586;2.024714;17.312073;0.641980;0.099462;0;0;0;391.051952;14.501308;2.246685;-130908064#2;292.12;1.68
0.00;3000.00;806271971;3364194.570952;32789.420770;21415.604533;33887.125072;330.283870;215.716795;235.393018;2.294279;1.498452;1309.459176;12.762760;8.335683;64.140261;0.625149;0.408301;0;0;0;1446.110751;14.094647;9.205572;-130908064#3;930.34;5.92
0.00;3000.00;806271971;1088024.206442;40347.003947;6176.078242;12987.774988;481.623300;73.724016;85.314644;3.163707;0.484281;430.385159;15.959895;2.443045;20.754256;0.769626;0.117810;0;0;0;467.692024;17.343338;2.654815;-130908064#4;302.72;1.72
0.00;3000.00;806271971;5273639.018226;37282.707799;32236.238905;58993.798808;417.064679;360.612129;395.872813;2.798677;2.419857;2083.476133;14.729418;12.735691;102.628411;0.725545;0.627338;0;0;0;2266.892164;16.026102;13.856860;-130908064#5;1423.45;8.70
