tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
790.00;6056686#11_0;19.51;15.62;734.00;0.00;-507342041#0_0;5.10;0.00;tripinfo_734 emissions_734;56.00;734;0;310.94;1.13;0.00;32.61;DEFAULT_VEHTYPE;;1;22.00;165072.007359;4736.669945;25.459650;70.465198;3.334595;0;70.958609
792.00;-507342039_0;0.20;4.31;714.00;0.00;6061783#3_0;5.10;0.00;tripinfo_714 emissions_714;78.00;714;0;617.67;1.10;0.00;34.37;DEFAULT_VEHTYPE;;2;15.00;233963.911463;5493.610564;30.456737;98.153140;4.529121;0;100.572087
792.00;421789044#1_0;117.75;10.31;640.00;0.00;806271971_3;5.10;0.00;tripinfo_Flow2.12 emissions_Flow2.12;152.00;Flow2.12;0;971.87;1.00;42.00;34.83;passenger;;1;6.00;420186.753432;12055.991366;64.804271;179.971615;8.565827;0;180.623268
793.00;-6061786#6_0;44.99;12.59;732.00;0.00;507341799_0;0.20;0.00;tripinfo_732 emissions_732;61.00;732;0;559.45;0.95;0.00;16.13;DEFAULT_VEHTYPE;;1;7.00;176883.365095;3626.602213;20.674531;73.466319;3.284033;0;76.035113
793.00;6056686#5_0;0.10;4.93;767.00;0.00;-421789039#0_0;5.10;0.00;tripinfo_767 emissions_767;26.00;767;0;187.80;0.97;0.00;9.44;DEFAULT_VEHTYPE;;0;0.00;86327.161700;2013.283026;11.212127;37.268140;1.749990;0;37.108543
794.00;-637504388#1_1;28.67;12.47;689.00;0.00;-6057280#1_0;5.10;0.00;tripinfo_689 emissions_689;105.00;689;0;1235.29;1.18;0.00;40.94;DEFAULT_VEHTYPE;;2;8.00;472410.525803;7657.129370;46.216482;199.357638;9.716693;0;203.067585
794.00;6054454#1_0;24.45;11.39;755.00;0.00;-6060452#11_0;5.10;0.00;tripinfo_755 emissions_755;39.00;755;0;399.23;1.00;0.00;9.04;DEFAULT_VEHTYPE;;0;0.00;138652.637409;2319.160921;13.857492;58.563444;2.692677;0;59.600595
796.00;6057932#3_0;47.81;11.14;748.00;0.00;-6061783#2_0;5.10;0.00;tripinfo_748 emissions_748;48.00;748;0;406.68;0.85;0.00;10.80;DEFAULT_VEHTYPE;;0;0.00;149559.267696;2732.017698;15.947268;62.057544;2.700435;0;64.289357
799.00;-392388948#0_2;233.12;28.21;613.00;0.00;6063369#4_0;5.10;0.00;tripinfo_613 emissions_613;186.00;613;0;1691.48;1.06;0.00;103.56;DEFAULT_VEHTYPE;;2;62.00;735698.556750;18884.642685;103.697675;315.615805;15.980694;0;316.247723
799.00;-6054454#2_1;103.20;12.22;770.00;0.00;6054454#0_0;0.20;0.00;tripinfo_770 emissions_770;29.00;770;0;253.85;0.89;0.00;6.23;DEFAULT_VEHTYPE;;0;0.00;99637.301793;1819.727593;10.629241;41.426639;1.826442;0;42.829932
800.00;-507340350#3_3;1.19;3.70;622.00;0.00;-392388948#2_0;5.10;0.00;tripinfo_622 emissions_622;178.00;622;0;2089.70;1.04;0.00;87.73;DEFAULT_VEHTYPE;;3;41.00;764877.630189;16212.009727;92.385343;322.999975;16.501273;0;328.788359
803.00;-6056686#11_0;19.17;12.19;749.00;0.00;-507342041#2_0;5.10;0.00;tripinfo_749 emissions_749;54.00;749;0;494.47;1.14;0.00;20.26;DEFAULT_VEHTYPE;;1;1.00;198140.860995;3523.409590;20.664594;83.019637;3.786758;0;85.172220
804.00;-6056686#12_0;25.71;13.47;677.00;0.00;-6057280#2_0;5.10;0.00;tripinfo_677 emissions_677;127.00;677;0;1304.98;1.00;0.00;58.81;DEFAULT_VEHTYPE;;2;19.00;489944.646301;8681.181018;51.328591;207.918911;10.136494;0;210.605169
805.00;6056686#6_0;31.96;12.58;686.00;0.00;-126303357#4_0;5.10;0.00;tripinfo_686 emissions_686;119.00;686;0;957.47;0.99;0.00;72.56;DEFAULT_VEHTYPE;;2;48.00;464540.373453;12350.937935;67.426111;201.221061;10.243594;0;199.687574
807.00;-684178509#1_0;6.78;8.13;751.00;0.00;6061677#0_0;5.10;0.00;tripinfo_751 emissions_751;56.00;751;0;529.87;1.03;0.00;17.51;DEFAULT_VEHTYPE;;1;1.00;187693.127324;3316.156181;19.525628;78.806028;3.581807;0;80.681168
808.00;800638464#2_0;37.35;20.66;774.00;0.00;-6061786#5_0;5.10;0.00;tripinfo_774 emissions_774;34.00;774;0;383.62;0.97;0.00;8.17;DEFAULT_VEHTYPE;;0;0.00;152709.131527;2270.748940;13.959709;62.328521;2.782921;0;65.642996
810.00;-6061786#8_1;21.81;9.21;776.00;0.00;6054524#5_0;5.10;0.00;tripinfo_776 emissions_776;34.00;776;0;252.49;0.95;0.00;11.62;DEFAULT_VEHTYPE;;0;0.00;95641.567941;2056.507691;11.603684;40.120691;1.770668;0;41.112545
811.00;6054053#1_0;1.73;11.41;757.00;0.00;6061783#2_0;5.10;0.00;tripinfo_757 emissions_757;54.00;757;0;477.35;0.88;0.00;13.02;DEFAULT_VEHTYPE;;0;0.00;148809.512129;2713.009125;15.843044;61.662181;2.681654;0;63.967077
812.00;-507342041#2_0;21.31;10.90;674.00;0.00;-6058243#0_0;5.10;0.00;tripinfo_674 emissions_674;138.00;674;0;800.81;0.94;0.00;80.28;DEFAULT_VEHTYPE;;2;57.00;406489.438527;12707.077132;67.467924;175.231810;8.493259;0;174.735884
814.00;6060452#11_0;150.87;8.33;747.00;0.34;806271971_1;5.10;0.00;tripinfo_Flow3.14 emissions_Flow3.14;67.00;Flow3.14;0;407.78;1.00;21.00;15.62;passenger;;0;0.00;202062.757297;5939.934231;31.807979;86.808993;4.144905;0;86.859630
815.00;-112343443_0;69.48;11.90;589.00;1.00;-6055573#10_0;5.10;0.00;tripinfo_588 emissions_588;226.00;588;0;1872.10;0.90;0.00;95.93;DEFAULT_VEHTYPE;;1;47.00;739836.056832;17357.417034;96.523645;312.066816;14.650044;0;318.026635
815.00;-130908023#0_2;11.32;6.12;615.00;0.00;6061786#8_0;5.10;0.00;tripinfo_615 emissions_615;200.00;615;0;1435.65;0.95;0.00;103.44;DEFAULT_VEHTYPE;;4;63.00;605823.201048;15439.572147;84.692720;258.671799;12.437560;0;260.420092
